Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,455.29998779296875,458.8999938964844,454.0,455.3999938964844,455.3999938964844,70797
2023-09-04,457.0,460.3999938964844,455.20001220703125,456.3999938964844,456.3999938964844,41887
2023-09-05,452.5,453.0,448.3999938964844,450.3999938964844,450.3999938964844,75531
2023-09-06,445.79998779296875,452.29998779296875,445.70001220703125,450.1000061035156,450.1000061035156,56673
2023-09-07,447.3999938964844,451.6000061035156,447.1000061035156,449.6000061035156,449.6000061035156,61561
2023-09-08,449.29998779296875,450.3999938964844,445.79998779296875,447.20001220703125,447.20001220703125,107196
2023-09-11,449.8999938964844,451.29998779296875,447.3999938964844,448.8999938964844,448.8999938964844,53924
2023-09-12,449.70001220703125,450.29998779296875,444.6000061035156,445.79998779296875,445.79998779296875,83517
2023-09-13,441.29998779296875,446.6000061035156,441.20001220703125,446.0,446.0,114813
2023-09-14,447.20001220703125,452.5,445.1000061035156,451.0,451.0,94774
2023-09-15,457.20001220703125,459.3999938964844,455.29998779296875,457.3999938964844,457.3999938964844,239754
2023-09-18,455.3999938964844,457.20001220703125,450.8999938964844,452.70001220703125,452.70001220703125,105560
2023-09-19,450.3999938964844,451.5,444.3999938964844,447.20001220703125,447.20001220703125,87459
2023-09-20,455.0,458.3999938964844,453.1000061035156,456.29998779296875,456.29998779296875,79383
2023-09-21,452.0,458.29998779296875,451.29998779296875,453.70001220703125,453.70001220703125,77877
2023-09-22,450.0,453.20001220703125,447.70001220703125,451.29998779296875,451.29998779296875,64566
2023-09-25,449.1000061035156,453.1000061035156,446.1000061035156,451.1000061035156,451.1000061035156,96860
2023-09-26,446.5,451.79998779296875,444.0,449.70001220703125,449.70001220703125,77057
2023-09-27,450.1000061035156,451.8999938964844,447.8999938964844,450.79998779296875,450.79998779296875,71673
2023-09-28,451.8999938964844,454.1000061035156,446.70001220703125,452.70001220703125,452.70001220703125,57798
2023-09-29,455.6000061035156,464.70001220703125,454.6000061035156,459.0,459.0,114809
2023-10-02,457.0,461.79998779296875,448.29998779296875,452.79998779296875,452.79998779296875,99056
2023-10-03,449.1000061035156,462.1000061035156,449.1000061035156,459.3999938964844,459.3999938964844,89978
2023-10-04,454.70001220703125,457.29998779296875,446.3999938964844,451.70001220703125,451.70001220703125,108166
2023-10-05,454.6000061035156,456.3999938964844,450.29998779296875,451.20001220703125,451.20001220703125,83809
2023-10-06,450.6000061035156,459.6000061035156,449.3999938964844,455.20001220703125,455.20001220703125,104540
2023-10-09,452.6000061035156,454.79998779296875,446.1000061035156,451.79998779296875,451.79998779296875,62928
2023-10-10,455.0,462.6000061035156,453.8999938964844,461.79998779296875,461.79998779296875,74558
2023-10-11,458.20001220703125,462.6000061035156,453.8999938964844,462.6000061035156,462.6000061035156,73587
2023-10-12,462.6000061035156,468.79998779296875,457.5,457.6000061035156,457.6000061035156,83161
2023-10-13,457.0,459.70001220703125,449.3999938964844,449.70001220703125,449.70001220703125,87855
2023-10-16,449.0,456.5,446.29998779296875,452.29998779296875,452.29998779296875,60528
2023-10-17,448.70001220703125,448.70001220703125,434.5,443.3999938964844,443.3999938964844,95241
2023-10-18,439.6000061035156,440.79998779296875,425.79998779296875,429.0,429.0,93949
2023-10-19,426.0,432.70001220703125,424.5,427.70001220703125,427.70001220703125,92886
2023-10-20,421.1000061035156,422.20001220703125,414.8999938964844,416.8999938964844,416.8999938964844,168545
