Date,Open,High,Low,Close,Adj Close,Volume
2023-07-27,5.460000038146973,5.460000038146973,5.380000114440918,5.389999866485596,5.389999866485596,68700
2023-07-28,5.510000228881836,5.53000020980835,5.449999809265137,5.46999979019165,5.46999979019165,185200
2023-07-31,5.480000019073486,5.53000020980835,5.460000038146973,5.480000019073486,5.480000019073486,163900
2023-08-01,5.409999847412109,5.409999847412109,5.349999904632568,5.389999866485596,5.389999866485596,749900
2023-08-02,5.289999961853027,5.300000190734863,5.230000019073486,5.300000190734863,5.300000190734863,169100
2023-08-03,5.389999866485596,5.510000228881836,5.369999885559082,5.480000019073486,5.480000019073486,152200
2023-08-04,5.599999904632568,5.679999828338623,5.590000152587891,5.590000152587891,5.590000152587891,159100
2023-08-07,5.690000057220459,5.690000057220459,5.650000095367432,5.659999847412109,5.659999847412109,102900
2023-08-08,5.489999771118164,5.590000152587891,5.460000038146973,5.590000152587891,5.590000152587891,795900
2023-08-09,5.659999847412109,5.679999828338623,5.630000114440918,5.650000095367432,5.650000095367432,88300
2023-08-10,5.690000057220459,5.739999771118164,5.619999885559082,5.630000114440918,5.630000114440918,348900
2023-08-11,5.639999866485596,5.670000076293945,5.619999885559082,5.630000114440918,5.630000114440918,89000
2023-08-14,5.619999885559082,5.659999847412109,5.590000152587891,5.599999904632568,5.599999904632568,55700
2023-08-15,5.610000133514404,5.650000095367432,5.579999923706055,5.579999923706055,5.579999923706055,507500
2023-08-16,5.590000152587891,5.619999885559082,5.539999961853027,5.539999961853027,5.539999961853027,1335900
2023-08-17,5.599999904632568,5.610000133514404,5.559999942779541,5.579999923706055,5.579999923706055,1759100
2023-08-18,5.489999771118164,5.559999942779541,5.489999771118164,5.519999980926514,5.519999980926514,1330500
2023-08-21,5.579999923706055,5.619999885559082,5.550000190734863,5.610000133514404,5.610000133514404,106100
2023-08-22,5.630000114440918,5.639999866485596,5.570000171661377,5.590000152587891,5.590000152587891,756900
2023-08-23,5.639999866485596,5.679999828338623,5.639999866485596,5.670000076293945,5.670000076293945,94800
2023-08-24,5.650000095367432,5.690000057220459,5.630000114440918,5.659999847412109,5.659999847412109,193400
2023-08-25,5.670000076293945,5.679999828338623,5.619999885559082,5.639999866485596,5.639999866485596,337400
2023-08-28,5.699999809265137,5.739999771118164,5.699999809265137,5.71999979019165,5.71999979019165,134000
2023-08-29,5.619999885559082,5.820000171661377,5.619999885559082,5.789999961853027,5.789999961853027,703900
2023-08-30,5.809999942779541,5.840000152587891,5.78000020980835,5.800000190734863,5.800000190734863,179400
2023-08-31,5.760000228881836,5.769999980926514,5.710000038146973,5.71999979019165,5.71999979019165,829200
2023-09-01,5.75,5.75,5.690000057220459,5.699999809265137,5.699999809265137,1005700
2023-09-05,5.590000152587891,5.590000152587891,5.510000228881836,5.53000020980835,5.53000020980835,466100
2023-09-06,5.5,5.559999942779541,5.480000019073486,5.53000020980835,5.53000020980835,3780200
2023-09-07,5.480000019073486,5.519999980926514,5.449999809265137,5.460000038146973,5.460000038146973,168500
2023-09-08,5.409999847412109,5.46999979019165,5.409999847412109,5.449999809265137,5.449999809265137,250100
2023-09-11,5.579999923706055,5.590000152587891,5.539999961853027,5.579999923706055,5.579999923706055,176500
2023-09-12,5.590000152587891,5.639999866485596,5.579999923706055,5.619999885559082,5.619999885559082,86200
2023-09-13,5.699999809265137,5.710000038146973,5.630000114440918,5.650000095367432,5.650000095367432,1057800
2023-09-14,5.690000057220459,5.769999980926514,5.690000057220459,5.71999979019165,5.71999979019165,183500
2023-09-15,5.630000114440918,5.699999809265137,5.630000114440918,5.659999847412109,5.659999847412109,239400
2023-09-18,5.070000171661377,5.070000171661377,4.929999828338623,5.0,5.0,1049000
2023-09-19,4.940000057220459,5.0,4.929999828338623,4.96999979019165,4.96999979019165,273300
2023-09-20,5.159999847412109,5.190000057220459,5.070000171661377,5.070000171661377,5.070000171661377,752900
2023-09-21,5.0,5.079999923706055,4.989999771118164,5.0,5.0,159100
2023-09-22,4.96999979019165,4.989999771118164,4.909999847412109,4.929999828338623,4.929999828338623,147700
2023-09-25,4.880000114440918,4.920000076293945,4.849999904632568,4.889999866485596,4.889999866485596,255800
2023-09-26,4.820000171661377,4.849999904632568,4.789999961853027,4.789999961853027,4.789999961853027,250200
2023-09-27,4.829999923706055,4.869999885559082,4.800000190734863,4.829999923706055,4.829999923706055,3668800
2023-09-28,4.860000133514404,4.929999828338623,4.860000133514404,4.880000114440918,4.880000114440918,3656300
2023-09-29,4.929999828338623,4.940000057220459,4.880000114440918,4.880000114440918,4.880000114440918,126300
2023-10-02,4.889999866485596,4.909999847412109,4.800000190734863,4.809999942779541,4.809999942779541,591600
2023-10-03,4.760000228881836,4.769999980926514,4.699999809265137,4.71999979019165,4.71999979019165,320100
2023-10-04,4.78000020980835,4.789999961853027,4.710000038146973,4.769999980926514,4.769999980926514,789100
2023-10-05,4.760000228881836,4.809999942779541,4.739999771118164,4.75,4.75,235900
2023-10-06,4.769999980926514,4.869999885559082,4.769999980926514,4.840000152587891,4.840000152587891,245300
2023-10-09,4.739999771118164,4.800000190734863,4.730000019073486,4.78000020980835,4.78000020980835,182900
2023-10-10,4.820000171661377,4.869999885559082,4.800000190734863,4.800000190734863,4.800000190734863,159100
2023-10-11,4.869999885559082,4.869999885559082,4.789999961853027,4.849999904632568,4.849999904632568,568500
2023-10-12,4.800000190734863,4.800000190734863,4.710000038146973,4.75,4.75,245300
2023-10-13,4.659999847412109,4.659999847412109,4.599999904632568,4.599999904632568,4.599999904632568,167300
2023-10-16,4.670000076293945,4.699999809265137,4.639999866485596,4.679999828338623,4.679999828338623,297100
2023-10-17,4.599999904632568,4.650000095367432,4.590000152587891,4.639999866485596,4.639999866485596,315500
2023-10-18,4.619999885559082,4.619999885559082,4.570000171661377,4.570000171661377,4.570000171661377,588900
2023-10-19,4.559999942779541,4.590000152587891,4.510000228881836,4.519999980926514,4.519999980926514,272000
2023-10-20,4.480000019073486,4.480000019073486,4.429999828338623,4.440000057220459,4.440000057220459,269500
2023-10-23,4.440000057220459,4.53000020980835,4.440000057220459,4.480000019073486,4.480000019073486,284000
2023-10-24,4.449999809265137,4.460000038146973,4.409999847412109,4.429999828338623,4.429999828338623,433400
2023-10-25,4.400000095367432,4.46999979019165,4.380000114440918,4.440000057220459,4.440000057220459,676000
2023-10-26,4.320000171661377,4.420000076293945,4.320000171661377,4.400000095367432,4.400000095367432,339000
2023-10-27,4.460000038146973,4.460000038146973,4.360000133514404,4.369999885559082,4.369999885559082,221200
2023-10-30,4.429999828338623,4.46999979019165,4.429999828338623,4.46999979019165,4.46999979019165,192500
2023-10-31,4.539999961853027,4.550000190734863,4.46999979019165,4.5,4.5,360600
2023-11-01,4.510000228881836,4.559999942779541,4.489999771118164,4.559999942779541,4.559999942779541,1368100
2023-11-02,4.619999885559082,4.670000076293945,4.579999923706055,4.639999866485596,4.639999866485596,295100
2023-11-03,4.760000228881836,4.769999980926514,4.679999828338623,4.710000038146973,4.710000038146973,116100
2023-11-06,4.699999809265137,4.71999979019165,4.670000076293945,4.690000057220459,4.690000057220459,408500
2023-11-07,4.610000133514404,4.659999847412109,4.579999923706055,4.639999866485596,4.639999866485596,501300
2023-11-08,4.599999904632568,4.659999847412109,4.590000152587891,4.630000114440918,4.630000114440918,1059000
2023-11-09,4.639999866485596,4.650000095367432,4.579999923706055,4.579999923706055,4.579999923706055,251800
2023-11-10,4.579999923706055,4.630000114440918,4.559999942779541,4.599999904632568,4.599999904632568,233600
2023-11-13,4.590000152587891,4.679999828338623,4.590000152587891,4.679999828338623,4.679999828338623,314200
2023-11-14,4.71999979019165,4.849999904632568,4.71999979019165,4.829999923706055,4.829999923706055,191500
2023-11-15,4.820000171661377,4.920000076293945,4.820000171661377,4.860000133514404,4.860000133514404,821500
2023-11-16,4.849999904632568,4.909999847412109,4.849999904632568,4.889999866485596,4.889999866485596,358400
2023-11-17,4.989999771118164,4.989999771118164,4.949999809265137,4.980000019073486,4.980000019073486,164100
2023-11-20,5.010000228881836,5.019999980926514,4.989999771118164,5.019999980926514,5.019999980926514,246100
2023-11-21,4.940000057220459,4.960000038146973,4.920000076293945,4.940000057220459,4.940000057220459,133200
2023-11-22,4.920000076293945,4.929999828338623,4.909999847412109,4.909999847412109,4.909999847412109,1012400
2023-11-24,4.940000057220459,5.03000020980835,4.940000057220459,5.0,5.0,91700
2023-11-27,4.989999771118164,5.0,4.949999809265137,4.980000019073486,4.980000019073486,226000
2023-11-28,4.949999809265137,5.0,4.949999809265137,4.989999771118164,4.989999771118164,218300
2023-11-29,5.010000228881836,5.059999942779541,5.0,5.019999980926514,5.019999980926514,161200
2023-11-30,5.099999904632568,5.119999885559082,5.019999980926514,5.03000020980835,5.03000020980835,295200
2023-12-01,4.96999979019165,5.050000190734863,4.96999979019165,5.019999980926514,5.019999980926514,948200
2023-12-04,5.03000020980835,5.050000190734863,4.960000038146973,5.03000020980835,5.03000020980835,495500
2023-12-05,5.090000152587891,5.110000133514404,5.039999961853027,5.070000171661377,5.070000171661377,134600
2023-12-06,5.130000114440918,5.159999847412109,5.070000171661377,5.099999904632568,5.099999904632568,133800
2023-12-07,5.110000133514404,5.179999828338623,5.099999904632568,5.159999847412109,5.159999847412109,1472400
2023-12-08,5.090000152587891,5.230000019073486,5.090000152587891,5.230000019073486,5.230000019073486,145900
2023-12-11,5.190000057220459,5.210000038146973,5.150000095367432,5.179999828338623,5.179999828338623,142300
2023-12-12,5.159999847412109,5.170000076293945,5.130000114440918,5.159999847412109,5.159999847412109,149900
2023-12-13,5.179999828338623,5.25,5.139999866485596,5.25,5.25,231900
2023-12-14,5.389999866485596,5.429999828338623,5.349999904632568,5.409999847412109,5.409999847412109,865900
2023-12-15,5.360000133514404,5.389999866485596,5.329999923706055,5.349999904632568,5.349999904632568,115100
2023-12-18,5.309999942779541,5.329999923706055,5.289999961853027,5.320000171661377,5.320000171661377,139500
2023-12-19,5.300000190734863,5.329999923706055,5.260000228881836,5.320000171661377,5.320000171661377,165400
2023-12-20,5.300000190734863,5.360000133514404,5.25,5.260000228881836,5.260000228881836,219900
2023-12-21,5.289999961853027,5.349999904632568,5.28000020980835,5.349999904632568,5.349999904632568,967500
2023-12-22,5.360000133514404,5.380000114440918,5.320000171661377,5.340000152587891,5.340000152587891,135400
2023-12-26,5.239999771118164,5.389999866485596,5.239999771118164,5.380000114440918,5.380000114440918,46200
2023-12-27,5.369999885559082,5.46999979019165,5.369999885559082,5.449999809265137,5.449999809265137,839500
2023-12-28,5.380000114440918,5.380000114440918,5.340000152587891,5.349999904632568,5.349999904632568,287100
2023-12-29,5.309999942779541,5.400000095367432,5.309999942779541,5.369999885559082,5.369999885559082,568300
2024-01-02,5.420000076293945,5.480000019073486,5.409999847412109,5.440000057220459,5.440000057220459,146700
2024-01-03,5.179999828338623,5.300000190734863,5.179999828338623,5.28000020980835,5.28000020980835,387600
2024-01-04,5.360000133514404,5.389999866485596,5.340000152587891,5.349999904632568,5.349999904632568,160000
2024-01-05,5.369999885559082,5.460000038146973,5.369999885559082,5.400000095367432,5.400000095367432,170400
2024-01-08,5.440000057220459,5.480000019073486,5.440000057220459,5.46999979019165,5.46999979019165,763700
2024-01-09,5.429999828338623,5.489999771118164,5.409999847412109,5.429999828338623,5.429999828338623,240500
2024-01-10,5.429999828338623,5.429999828338623,5.400000095367432,5.420000076293945,5.420000076293945,147800
2024-01-11,5.25,5.25,5.170000076293945,5.25,5.25,224200
2024-01-12,5.239999771118164,5.28000020980835,5.159999847412109,5.190000057220459,5.190000057220459,107500
2024-01-16,5.059999942779541,5.119999885559082,5.039999961853027,5.079999923706055,5.079999923706055,679700
2024-01-17,4.96999979019165,5.03000020980835,4.96999979019165,5.019999980926514,5.019999980926514,208000
2024-01-18,5.090000152587891,5.119999885559082,5.059999942779541,5.110000133514404,5.110000133514404,165100
2024-01-19,5.059999942779541,5.119999885559082,5.059999942779541,5.119999885559082,5.119999885559082,118500
2024-01-22,5.130000114440918,5.159999847412109,5.110000133514404,5.130000114440918,5.130000114440918,237200
2024-01-23,5.130000114440918,5.150000095367432,5.119999885559082,5.150000095367432,5.150000095367432,768400
2024-01-24,5.179999828338623,5.230000019073486,5.179999828338623,5.190000057220459,5.190000057220459,310800
2024-01-25,5.159999847412109,5.190000057220459,5.110000133514404,5.179999828338623,5.179999828338623,155500
2024-01-26,5.199999809265137,5.230000019073486,5.170000076293945,5.210000038146973,5.210000038146973,117300
